barcode01,CHIKV-2,37124
barcode02,Denv1-6,11053
barcode03,Denv2-8,11060
barcode04,Denv3-11,11069
barcode05,Denv4-13,408871
barcode06,JEV-18,11072
barcode07,SARS-CoV-26,2697049
barcode08,SARS-CoV-27,2697049
barcode09,SARS-CoV-28,2697049
barcode10,SARS-CoV-29,2697049
barcode11,SARS-CoV-30,2697049
barcode12,TBEV-39,11084
barcode13,USUV-44,64286
barcode14,VEEV-46,11036
barcode15,WNV-49,11082
barcode16,YFV-53,11089
barcode17,ZIKV-56,64320
barcode18,HIV-60,11676
barcode19,HIV-61,11676
barcode20,HIV-62,11676
barcode21,MPOX-66,10244
barcode22,DENV3-68,11069
barcode23,negCont_water,2697049
barcode24,posCont_LMD,2681611